w_judge,e_judge,w_rank,w_name,ruler,e_rank,e_name,year,month,day
0,1,K1e,Takanowaka,yorikiri,Y1w,Musashimaru,2001,01,1
1,0,Y2e,Takanohana,uwatenage,K1w,Tochinonada,2001,01,1
0,1,O1e,Kaio,shitatenage,S1e,Wakanosato,2001,01,1
0,1,S1w,Kotomitsuki,oshidashi,O1w,Chiyotaikai,2001,01,1
0,1,O2e,Dejima,oshidashi,M1e,Takanonami,2001,01,1
0,1,M1w,Tochisakae,hikiotoshi,O2w,Miyabiyama,2001,01,1
0,1,M2e,Kotonowaka,uwatenage,O3w,Musoyama,2001,01,1
1,0,M3e,Wakanoyama,oshidashi,M3w,Kaiho,2001,01,1
1,0,M4e,Akinoshima,susoharai,M4w,Tochiazuma,2001,01,1
0,1,M5e,Tosanoumi,hatakikomi,M5w,Tamakasuga,2001,01,1
0,1,M6e,Tochinohana,hatakikomi,M6w,Chiyotenzan,2001,01,1
0,1,M7e,Higonoumi,yorikiri,M7w,Kotoryu,2001,01,1
1,0,M8e,Kyokutenho,kotenage,M9e,Hamanoshima,2001,01,1
0,1,M10e,Kyokushuzan,shitatenage,M9w,Tokitsuumi,2001,01,1
1,0,M11w,Minatofuji,oshitaoshi,M10w,Oginishiki,2001,01,1
1,0,M11e,Kinkaiyama,yorikiri,M12e,Takatoriki,2001,01,1
0,1,M13e,Daishi,yorikiri,M12w,Asashoryu,2001,01,1
1,0,M14e,Asanowaka,hikiotoshi,M13w,Tamarikido,2001,01,1
1,0,J1e,Tamanonada,tsukiotoshi,M14w,Wakakosho,2001,01,1
0,1,J2w,Terao,oshidashi,J1w,Daizen,2001,01,1
1,0,J3e,Jumonji,oshitaoshi,J3w,Otsukasa,2001,01,1
1,0,J4e,Juzan,yorikiri,J4w,Kobo,2001,01,1
1,0,J5e,Yotsukasa,oshidashi,J5w,Shikishima,2001,01,1
1,0,J6e,Aminishiki,kirikaeshi,J6w,Kuniazuma,2001,01,1
0,1,J7e,Oikari,hikiotoshi,J7w,Toyozakura,2001,01,1
0,1,J8e,Komahikari,tottari,J8w,Wakatsutomu,2001,01,1
0,1,J9e,Tomonohana,yorikiri,J10e,Hamanishiki,2001,01,1
0,1,J11e,Tomikaze,hatakikomi,J10w,Aogiyama,2001,01,1
1,0,J12e,Wakatoryu,tsukiotoshi,J11w,Kotokanyu,2001,01,1
0,1,J13e,Komidori,okuritaoshi,J12w,Tamanokuni,2001,01,1
0,1,Ms1e,Senshuyama,oshidashi,J13w,Kitazakura,2001,01,1
1,0,Y2e,Takanohana,hatakikomi,M3e,Wakanoyama,2001,01,2
0,1,M3w,Kaiho,tsukitaoshi,Y1w,Musashimaru,2001,01,2
0,1,M1e,Takanonami,sotogake,O1w,Chiyotaikai,2001,01,2
1,0,O2e,Dejima,oshidashi,K1w,Tochinonada,2001,01,2
0,1,S1e,Wakanosato,oshidashi,O2w,Miyabiyama,2001,01,2
0,1,K1e,Takanowaka,oshitaoshi,O3w,Musoyama,2001,01,2
1,0,O1e,Kaio,yorikiri,M1w,Tochisakae,2001,01,2
0,1,M4e,Akinoshima,shitatedashinage,S1w,Kotomitsuki,2001,01,2
0,1,M2e,Kotonowaka,yorikiri,M5e,Tosanoumi,2001,01,2
0,1,M6e,Tochinohana,oshitaoshi,M4w,Tochiazuma,2001,01,2
1,0,M7e,Higonoumi,oshidashi,M5w,Tamakasuga,2001,01,2
1,0,M8e,Kyokutenho,uwatenage,M6w,Chiyotenzan,2001,01,2
1,0,M9e,Hamanoshima,yorikiri,M7w,Kotoryu,2001,01,2
0,1,M11e,Kinkaiyama,hatakikomi,M9w,Tokitsuumi,2001,01,2
NaN,NaN,M12e,Takatoriki,fusen,M10w,Oginishiki,2001,01,2
0,1,M10e,Kyokushuzan,oshidashi,M12w,Asashoryu,2001,01,2
1,0,M13e,Daishi,hikiotoshi,M11w,Minatofuji,2001,01,2
1,0,M14w,Wakakosho,oshidashi,M13w,Tamarikido,2001,01,2
1,0,M14e,Asanowaka,oshidashi,J1w,Daizen,2001,01,2
0,1,J1e,Tamanonada,tsukiotoshi,J3w,Otsukasa,2001,01,2
0,1,J4e,Juzan,hikkake,J2w,Terao,2001,01,2
1,0,J3e,Jumonji,hatakikomi,J5e,Yotsukasa,2001,01,2
1,0,J6w,Kuniazuma,kotenage,J4w,Kobo,2001,01,2
NaN,NaN,J7e,Oikari,fusen,J5w,Shikishima,2001,01,2
0,1,J6e,Aminishiki,oshidashi,J8w,Wakatsutomu,2001,01,2
0,1,J9e,Tomonohana,hatakikomi,J7w,Toyozakura,2001,01,2
0,1,J8e,Komahikari,tsukidashi,J10w,Aogiyama,2001,01,2
1,0,J10e,Hamanishiki,oshidashi,J12e,Wakatoryu,2001,01,2
1,0,J13w,Kitazakura,yoritaoshi,J11w,Kotokanyu,2001,01,2
1,0,J11e,Tomikaze,yorikiri,J12w,Tamanokuni,2001,01,2
0,1,J13e,Komidori,kotenage,Ms1w,Harunoyama,2001,01,2
0,1,M1e,Takanonami,yorikiri,Y1w,Musashimaru,2001,01,3
1,0,Y2e,Takanohana,yorikiri,K1e,Takanowaka,2001,01,3
0,1,O2e,Dejima,hatakikomi,M1w,Tochisakae,2001,01,3
1,0,M2e,Kotonowaka,uwatenage,O2w,Miyabiyama,2001,01,3
1,0,M3w,Kaiho,oshidashi,O3w,Musoyama,2001,01,3
1,0,O1e,Kaio,oshidashi,S1w,Kotomitsuki,2001,01,3
1,0,K1w,Tochinonada,oshitaoshi,O1w,Chiyotaikai,2001,01,3
1,0,S1e,Wakanosato,tsukiotoshi,M3e,Wakanoyama,2001,01,3
1,0,M4e,Akinoshima,sukuinage,M6w,Chiyotenzan,2001,01,3
0,1,M5e,Tosanoumi,tsukiotoshi,M4w,Tochiazuma,2001,01,3
1,0,M7w,Kotoryu,yorikiri,M5w,Tamakasuga,2001,01,3
0,1,M6e,Tochinohana,yorikiri,M8e,Kyokutenho,2001,01,3
0,1,M7e,Higonoumi,uwatenage,M10e,Kyokushuzan,2001,01,3
1,0,M9e,Hamanoshima,yorikiri,M11e,Kinkaiyama,2001,01,3
0,1,M11w,Minatofuji,yorikiri,M9w,Tokitsuumi,2001,01,3
1,0,M12e,Takatoriki,oshidashi,M14e,Asanowaka,2001,01,3
0,1,M13w,Tamarikido,sotogake,M12w,Asashoryu,2001,01,3
1,0,M13e,Daishi,tsukiotoshi,M14w,Wakakosho,2001,01,3
1,0,J1e,Tamanonada,yorikiri,J4e,Juzan,2001,01,3
1,0,J3w,Otsukasa,oshidashi,J1w,Daizen,2001,01,3
0,1,J4w,Kobo,katasukashi,J2w,Terao,2001,01,3
0,1,J3e,Jumonji,uwatenage,J6e,Aminishiki,2001,01,3
1,0,J5e,Yotsukasa,oshidashi,J7e,Oikari,2001,01,3
0,1,J8w,Wakatsutomu,oshidashi,J6w,Kuniazuma,2001,01,3
0,1,J10e,Hamanishiki,oshidashi,J7w,Toyozakura,2001,01,3
1,0,J8e,Komahikari,oshidashi,J11e,Tomikaze,2001,01,3
1,0,J9e,Tomonohana,oshitaoshi,J11w,Kotokanyu,2001,01,3
1,0,J13e,Komidori,uchigake,J10w,Aogiyama,2001,01,3
0,1,J12e,Wakatoryu,oshidashi,J13w,Kitazakura,2001,01,3
1,0,Ms2e,Kasuganishiki,yorikiri,J12w,Tamanokuni,2001,01,3
1,0,Y2e,Takanohana,uwatenage,S1w,Kotomitsuki,2001,01,4
0,1,M4w,Tochiazuma,oshitaoshi,Y1w,Musashimaru,2001,01,4
0,1,M4e,Akinoshima,hatakikomi,O2w,Miyabiyama,2001,01,4
1,0,M5w,Tamakasuga,tsukiotoshi,O3w,Musoyama,2001,01,4
0,1,O1e,Kaio,yorikiri,K1w,Tochinonada,2001,01,4
NaN,NaN,K1e,Takanowaka,fusen,O1w,Chiyotaikai,2001,01,4
